,gpwr,in-hand delta,game-weighted in-hand delta,distance-one delta,gihwr,gnswr,cs bias,cs var,cs mean,deck gihwr,deck gnswr,deck ihd form,deck ihd meas,deck ihdd
Anzrag's Rampage,0.344,-0.07316666666666666,-0.09660656191183864,-0.19369401645095896,0.2708333333333333,0.38961038961038963,0.022435897435897433,9.984,16.0,0.358,0.33466666666666667,0.013999999999999999,0.014000000000000012,-1.3877787807814457e-17
"Anzrag, the Quake-Mole",0.5297795676133955,0.020321646961503292,0.02746057021756676,-0.01572979900979976,0.5501012145748988,0.5148316651501365,-0.0015158602068197327,12.577056735079243,16.233672464719398,0.5279912184412733,0.530999322613997,-0.0011744144687565173,-0.0017883491721222278,0.0006139347033657105
Archdruid's Charm,0.5499441964285714,0.006067794245348868,-0.0022601207388732725,0.003920232105419363,0.5560119906739203,0.5455127179651256,0.007526401199540816,12.559115907905975,16.54579448571571,0.555801269532622,0.545810768202649,0.0057129287515350685,0.005857073104050592,-0.0001441443525155234
Assassin's Trophy,0.5078461001976055,0.006292018345080752,-0.007521488764875683,-0.03231303246515693,0.5141381185426862,0.5031472081218274,0.01556695765705871,12.982654933820452,16.815181110149584,0.5199163018106985,0.4990768335390389,0.01201892731973016,0.012070201613093023,-5.1274293362863974e-05
Assemble the Players,0.516603096253085,-0.0491600046702369,-0.056708912926005106,-0.03081446816036082,0.4674430915828481,0.5527442584663294,-0.0047417690443891285,12.212546909539556,16.238805970149254,0.5134121579623465,0.5187848852034793,-0.003566092051056912,-0.0031909382907384654,-0.0003751537603184467
Audience with Trostani,0.5356533606277721,0.01894208320569213,-0.007823197842865004,-0.008233267393881749,0.5545954438334643,0.5216867469879518,0.01863159746844707,17.023963922613003,17.396079881656803,0.5543967440222283,0.5211691414401064,0.01823305280737088,0.018743383394456137,-0.0005103305870852552
Aurelia's Vindicator,0.5975252794039383,0.08746545561768004,0.09020857927634351,0.04877221602544879,0.6849907350216183,0.531924827827711,-0.0021453493312599773,12.922176744810699,16.607751106343034,0.5957599381457341,0.5987783689405421,-0.0016692557023759054,-0.001765341258204156,9.608555582825071e-05
"Aurelia, the Law Above",0.566078697421981,0.03545673933487692,0.03285974220621157,0.01627674295903292,0.6015354367568579,0.5412674287979912,-0.0027793240291995127,12.208204288844467,16.26783723522854,0.5639018878179838,0.5675699510550839,-0.0020857447147236163,-0.002176809603997243,9.10648892736266e-05
Auspicious Arrival,0.5586731669729121,-0.009999281076503719,-0.006321185929760609,0.008303437311842354,0.5486738858964084,0.5652676496267784,-0.009185902241601495,12.400177945501925,16.21473767709563,0.5515303817999953,0.5635386006629107,-0.007024894552980918,-0.007142785172916888,0.00011789061993596958
Axebane Ferox,0.5558783060694084,0.03278316830117667,0.034870514592771795,0.009987980048543954,0.588661474370585,0.5318839622018107,0.0029845395112514535,12.565227899883443,16.368147258903562,0.5578632170957593,0.5545059619431183,0.0022911218076121665,0.0019849110263508996,0.00030621078126126695
Barbed Servitor,0.5126381442170916,-0.0041809427819301526,-0.029471239760048173,-0.02716876476873431,0.5084572014351615,0.516288816917508,0.014672594767529037,15.398775634351821,17.132142448185046,0.526021057207331,0.5026275648044987,0.013188075891983954,0.013382912990239415,-0.00019483709825546085
Basilica Stalker,0.5192522048614506,-0.00018490029551632148,-0.010214965470795256,-0.02094911356722018,0.5190673045659343,0.5194546620321938,0.008269385174480493,13.21472434763066,16.771642446226,0.5258023888701482,0.5145315653241158,0.00651561980023807,0.006550184008697557,-3.456420845948747e-05
Behind the Mask,0.4858585858585859,-0.004687037741431088,-0.0182493188783569,-0.05592768635812184,0.4811715481171548,0.48928727590730214,0.010575672915175895,18.151732800475955,17.5302866414278,0.4967721482506196,0.47734933261426454,0.010950579010376537,0.010913562392033727,3.701661834281007e-05
